time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates
4000,258.8,1,36,109,-2097.6242061999997,,,,,,,,,,
8000,258.8,2,111,71,-2097.6242061999997,16602.375379753114,0.035792556,0.00478595495223999,0.0005,0.004648275448569605,0.2,0.38106249055126684,-1.5783876217901707,16060.6064453125,8
12000,258.8,3,176,67,-2097.6242061999997,1049.476601409912,0.3092967,0.04436624050140381,0.0005,0.04047891884353065,0.2,0.6200937398709356,-1.4104837208986283,174.03839111328125,16
16000,1464.3333333333333,4,249,64,-10977.186965111112,553.2030237674713,1.9553213,0.40764230489730835,0.0005,0.07988743900550617,0.2,0.704562492063269,-0.883214303595014,59.940181732177734,24
